,Date,Open,High,Low,Volume,News Sentiment
83,2008-12-05,8376.080078,8686.469727,8118.5,346370000,-0.3439892828464508
84,2008-12-08,8637.650391,9026.410156,8637.490234,358970000,-0.3574458360671997
85,2008-12-09,8934.099609,8934.099609,8651.740234,284950000,-0.356275737285614
86,2008-12-10,8693.0,8879.219727,8646.330078,232830000,-0.36162957549095154
87,2008-12-11,8750.129883,8809.450195,8512.759766,290540000,-0.36472755670547485
88,2008-12-12,8563.099609,8682.570313,8347.80957,271030000,-0.3773941099643707
89,2008-12-15,8628.80957,8676.280273,8469.030273,229940000,-0.3694576025009155
90,2008-12-16,8565.650391,8958.790039,8565.650391,337190000,-0.37574225664138794
91,2008-12-17,8921.910156,8961.259766,8778.070313,239260000,-0.3769294023513794
92,2008-12-18,8823.94043,8883.360352,8527.410156,274080000,-0.36722463369369507
93,2008-12-19,8606.5,8787.230469,8550.429688,550150000,-0.38146737217903137
94,2008-12-22,8573.370117,8601.410156,8372.019531,211090000,-0.33391815423965454
95,2008-12-23,8518.650391,8604.120117,8391.299805,174640000,-0.33312156796455383
96,2008-12-24,8416.860352,8498.5,8416.860352,66930000,-0.3184219002723694
97,2008-12-26,8468.709961,8533.070313,8461.780273,86760000,-0.3075476586818695
98,2008-12-29,8515.870117,8530.679688,8364.05957,153730000,-0.27261996269226074
99,2008-12-30,8487.509766,8675.240234,8487.509766,162560000,-0.27775809168815613
100,2008-12-31,8666.480469,8842.660156,8664.889648,226760000,-0.27009013295173645
101,2009-01-02,8772.25,9065.280273,8760.780273,213700000,-0.28937605023384094
102,2009-01-05,9027.129883,9034.370117,8892.360352,233760000,-0.24690738320350647
103,2009-01-06,8954.570313,9088.05957,8940.950195,215410000,-0.24069762229919434
104,2009-01-07,8996.94043,8996.94043,8719.919922,266710000,-0.2518468201160431
105,2009-01-08,8769.94043,8770.019531,8651.19043,226620000,-0.27076178789138794
106,2009-01-09,8738.799805,8769.620117,8576.959961,204300000,-0.27463972568511963
107,2009-01-12,8599.259766,8602.599609,8421.080078,273550000,-0.25769737362861633
108,2009-01-13,8474.610352,8522.080078,8376.879883,304050000,-0.2563747763633728
109,2009-01-14,8446.009766,8446.25,8140.720215,355050000,-0.25163066387176514
110,2009-01-15,8196.240234,8286.160156,7995.129883,436660000,-0.25071796774864197
111,2009-01-16,8215.669922,8341.200195,8109.339844,439360000,-0.2520952522754669
112,2009-01-20,8279.629883,8291.980469,7939.930176000001,419200000,-0.23979830741882324
113,2009-01-21,7949.169922,8243.549805,7936.189941,410040000,-0.24714148044586182
